surface,checkpoint_id,x,y,z,unit,datum,method,date
SRF_0006_001,MOD-74-24,724500,4968500,-1180,m,TVDSS,section_pick,2024-02-12
SRF_0006_001,MOD-74-24,724900,4968200,-1195,m,TVDSS,section_pick,2024-02-13
SRF_0006_001,MOD-74-20,725200,4967900,-1170,m,TVDSS,section_pick,2024-02-14
SRF_0007_001,MRG199004,726200,4967200,-1020,m,TVDSS,section_pick,2024-02-14
SRF_0007_001,MOD-74-20,726600,4966900,-1045,m,TVDSS,section_pick,2024-02-15
SRF_0007_001,BOL-33,726900,4966600,-1010,m,TVDSS,section_pick,2024-02-16
SRF_0008_001,MOD-74-20,727000,4966100,-1360,m,TVDSS,section_pick,2024-02-16
SRF_0008_001,MOD-74-24,727300,4965800,-1340,m,TVDSS,section_pick,2024-02-17
SRF_0008_001,MN-330-91,727600,4965500,-1355,m,TVDSS,section_pick,2024-02-18
SRF_0009_001,MOD-56,728100,4965400,-950,m,TVDSS,section_pick,2024-02-18
SRF_0009_001,MOD-74-24,728400,4965100,-975,m,TVDSS,section_pick,2024-02-19
SRF_0009_001,MOD-74-20,728700,4964800,-940,m,TVDSS,section_pick,2024-02-20
SRF_0010_001,MOD-74-20,729000,4964200,-890,m,TVDSS,section_pick,2024-02-20
SRF_0010_001,MOD-74-20,729300,4963900,-905,m,TVDSS,section_pick,2024-02-21
SRF_0010_001,MOD-74-20,729600,4963600,-880,m,TVDSS,section_pick,2024-02-22
SRF_0001_001,MO-337-82,723400,4969800,-1010,m,TVDSS,section_pick,2024-02-22
SRF_0001_001,MOD-74-20,723700,4969500,-990,m,TVDSS,section_pick,2024-02-23
SRF_0001_001,MRG199004,724000,4969200,-1030,m,TVDSS,section_pick,2024-02-24
