surface,checkpoint_id,z,unit,datum,method,date
SRF_0006_001,BIGNARDI 001,-1250,m,TVDSS,log_pick,2024-01-15
SRF_0007_001,DOGARO 002,-980,m,TVDSS,log_pick,2024-01-20
SRF_0008_001,PILASTRI 001,-1420,m,TVDSS,core_tie,2024-02-05
SRF_0009_001,RIVARA 002,-1105,m,TVDSS,log_pick,2024-02-10
SRF_0010_001,POGGIO RUSCO 003,-870,m,TVDSS,checkshot_tie,2024-02-18
SRF_0001_001,MO-337-82,-990,m,TVDSS,well_tie,2024-02-22
SRF_0006_001,DOGARO 002,-1220,m,TVDSS,log_pick,2024-01-21
SRF_0007_001,DOGARO 002,-1010,m,TVDSS,log_pick,2024-01-21
SRF_0008_001,DOGARO 002,-1325,m,TVDSS,log_pick,2024-01-21
SRF_0009_001,DOGARO 002,-1075,m,TVDSS,log_pick,2024-01-21
SRF_0010_001,DOGARO 002,-920,m,TVDSS,log_pick,2024-01-21
SRF_0002_001,BIGNARDI 001,-1180,m,TVDSS,log_pick,2024-01-16
SRF_0003_001,BIGNARDI 001,-1210,m,TVDSS,log_pick,2024-01-17
SRF_0004_001,BIGNARDI 001,-1155,m,TVDSS,log_pick,2024-01-18
SRF_0005_001,BIGNARDI 001,-1130,m,TVDSS,log_pick,2024-01-19
SRF_0002_001,PILASTRI 001,-1380,m,TVDSS,core_tie,2024-02-06
SRF_0003_001,PILASTRI 001,-1405,m,TVDSS,core_tie,2024-02-07
SRF_0004_001,PILASTRI 001,-1350,m,TVDSS,core_tie,2024-02-08
SRF_0005_001,PILASTRI 001,-1330,m,TVDSS,core_tie,2024-02-09
SRF_0002_001,RIVARA 002,-1080,m,TVDSS,log_pick,2024-02-11
SRF_0003_001,RIVARA 002,-1115,m,TVDSS,log_pick,2024-02-12
SRF_0004_001,RIVARA 002,-1050,m,TVDSS,log_pick,2024-02-13
SRF_0005_001,RIVARA 002,-1035,m,TVDSS,log_pick,2024-02-14
SRF_0002_001,POGGIO RUSCO 003,-900,m,TVDSS,checkshot_tie,2024-02-19
SRF_0003_001,POGGIO RUSCO 003,-930,m,TVDSS,checkshot_tie,2024-02-20
SRF_0004_001,POGGIO RUSCO 003,-880,m,TVDSS,checkshot_tie,2024-02-21
SRF_0005_001,POGGIO RUSCO 003,-860,m,TVDSS,checkshot_tie,2024-02-22
SRF_0002_001,MO-337-82,-1015,m,TVDSS,well_tie,2024-02-23
SRF_0003_001,MO-337-82,-1040,m,TVDSS,well_tie,2024-02-24
SRF_0004_001,MO-337-82,-980,m,TVDSS,well_tie,2024-02-25
SRF_0005_001,MO-337-82,-960,m,TVDSS,well_tie,2024-02-26
