surface,checkpoint_id,type
SRF_0006_001,W2,well
SRF_0006_001,W5,well
SRF_0006_001,W11,well
SRF_0006_001,W4,well
SRF_0006_001,W12,well
SRF_0006_001,S5,section
SRF_0006_001,S11,section
SRF_0006_001,S18,section
SRF_0007_001,W6,well
SRF_0007_001,W5,well
SRF_0007_001,W1,well
SRF_0007_001,W4,well
SRF_0007_001,W14,well
SRF_0007_001,S15,section
SRF_0007_001,S22,section
SRF_0007_001,S21,section
SRF_0008_001,W7,well
SRF_0008_001,W2,well
SRF_0008_001,W17,well
SRF_0008_001,W10,well
SRF_0008_001,W11,well
SRF_0008_001,S9,section
SRF_0008_001,S8,section
SRF_0008_001,S16,section
SRF_0009_001,W3,well
SRF_0009_001,W7,well
SRF_0009_001,W16,well
SRF_0009_001,W8,well
SRF_0009_001,W10,well
SRF_0009_001,S13,section
SRF_0009_001,S11,section
SRF_0009_001,S18,section
SRF_0010_001,W16,well
SRF_0010_001,W11,well
SRF_0010_001,W9,well
SRF_0010_001,W13,well
SRF_0010_001,W10,well
SRF_0010_001,S4,section
SRF_0010_001,S8,section
SRF_0010_001,S18,section
SRF_0001_001,W6,well
SRF_0001_001,W7,well
SRF_0001_001,W5,well
SRF_0001_001,W10,well
SRF_0001_001,W17,well
SRF_0001_001,S18,section
SRF_0001_001,S12,section
SRF_0001_001,S21,section
SRF_0002_001,W10,well
SRF_0002_001,W12,well
SRF_0002_001,W5,well
SRF_0002_001,W14,well
SRF_0002_001,W9,well
SRF_0002_001,S3,section
SRF_0002_001,S15,section
SRF_0002_001,S5,section
SRF_0003_001,W15,well
SRF_0003_001,W3,well
SRF_0003_001,W12,well
SRF_0003_001,W10,well
SRF_0003_001,W6,well
SRF_0003_001,S8,section
SRF_0003_001,S9,section
SRF_0003_001,S10,section
SRF_0004_001,W3,well
SRF_0004_001,W13,well
SRF_0004_001,W2,well
SRF_0004_001,W8,well
SRF_0004_001,W1,well
SRF_0004_001,S12,section
SRF_0004_001,S19,section
SRF_0004_001,S22,section
SRF_0005_001,W6,well
SRF_0005_001,W10,well
SRF_0005_001,W15,well
SRF_0005_001,W8,well
SRF_0005_001,W7,well
SRF_0005_001,S1,section
SRF_0005_001,S17,section
SRF_0005_001,S19,section
